course,course_name,short_description,long_description
ANE 103 - Ancient Lives,ANE 103 , Ancient Lives,"Description:  What are the essential elements of human society? Have our fundamental conditions developed, and how? Can we use themes from ancient history to think about contemporary society and culture? These questions are in focus in this course on 'Ancient Lives', which explores the earliest human civilizations in the region commonly known as Mesopotamia (c. 3000-300 bce) in what is now Iraq, Iran, Syria and Turkey. Few elements in the way we live and organize ourselves today are to be taken for granted. There is, and has always been, a wealth of ways in which humans live. But biologically we are the same as our ancestors of 5000 years ago, at the dawn of history. Any likeness or difference between 'us and them' is therefore likely to be a product of history and culture. 'Ancient Lives' builds upon this realization to inspire a critical way of thinking about society in the broadest possible scope. Areas explored during the course are selected for their relevance across the range of contemporary life - they include freedom, music, public health, food, jurisprudence, trade, the visual arts, science, sexuality, religion and political power. You learn about how societies and individuals have dealt with change on multiple levels, from large-scale societal revolutions to personal transformation. Having taken this course, you will have gained a fundamental understanding and appreciation of human life in the broadest scope, as well as of your own life as a part of history. You will be able to critically assess contemporary discourses on the study of 'the other' in past and present; engage with core concepts of human society, such as justice, beauty, value and belief on a broad historical base; be familiar with examples of classical social theory and thinkers through concrete cases in which their work has been applied to or shaped by the study of the past; and acquire skills in presenting scholarly work to a general audience."
ANE 132 - Ancient Jewish Wisdom Literature,ANE 132 , Ancient Jewish Wisdom Literature,"Description:  A close critical reading and interpretation of works thought to derive from the Wisdom tradition of ancient Israel, through the Second Temple period. The workings of the world and the ways of God as they appear in works such as Proverbs, Job, Qohelet, Ben Sira, some Psalms, the Wisdom of Solomon, Fourth Maccabees, and Pseudo-Phocylides as well as narratives about such figures as Joseph, Esther, and Daniel. Egyptian and Mesopotamian antecedents and parallels briefly considered. Emphasis on matters of worldview and literary form."
ANE 209 - Biographies in the Hebrew Bible,ANE 209 , Biographies in the Hebrew Bible,"Description:  The Hebrew Bible?s historiography is designed as a series of life stories. From Abraham to Isaac, from Jacob to Joseph, Moses, Joshua and on to the judges, prophets, and kings, this is a long-distance relay race in which the baton is being passed from one character to his successor, from the beginning of history till the expulsion of Israel from its Land. Some of these life stories, like Moses?s, are rather complete, starting with pre-birth traditions and ending with death; others, such as Joshua, are only partial.In this course, we will conduct a close reading of some of the Bible?s biographies, noting and explaining the relationships, similarities and differences between them. Since we deal with religious literature, special attention will also be given to each character?s relationship with God and its significance. All the while, we will question the biblical writers, their motivations, who they were supporting and who they were criticizing, what their ideological motivations were, and noticing and enjoying their literary techniques.Finally, we will also be looking at how some biographies came to be retold in Second Temple Period literature as well as rabbinic literature, and question the varying motives, literary tastes and modes of interpretation of the different eras and socio-political contexts."
ANE 210 - Textual Criticism of the Hebrew Bible: Seminar,ANE 210 , Textual Criticism of the Hebrew Bible: Seminar,Description:  This course focuses on the art of recovering the text of the Hebrew Bible using Hebrew and Greek manuscripts as well as other early textual witnesses.
ANE 310 - Reading and Research in Ancient Near Eastern Archaeology,ANE 310 , Reading and Research in Ancient Near Eastern Archaeology,
ANE 320 - Reading and Research in Ancient Mesopotamian Civilization,ANE 320 , Reading and Research in Ancient Mesopotamian Civilization,
ANE 330 - Reading and Research in Biblical Studies,ANE 330 , Reading and Research in Biblical Studies,
ANE 330 - Reading and Research in Biblical Studies,ANE 330 , Reading and Research in Biblical Studies,
ANTHRO 1010 - The Fundamentals of Archaeological Methods & Reasoning,ANTHRO 1010 , The Fundamentals of Archaeological Methods & Reasoning,"Description:  A comprehensive introduction to the practice of archaeology and major themes from our human past: how do archaeologists know where to dig? How do we analyze and understand what we find? What do we know about the origins of the human species, agriculture, cities, and civilization? The course integrates methods and theory, and utilizes Peabody Museum collections, to show how we reconstruct ancient diet, trade, and political systems. We also explore the role of archaeology in colonialism, modern politics, and film."
ANTHRO 1095 - Urban Revolutions: Archaeology and the Investigation of Early States,ANTHRO 1095 , Urban Revolutions: Archaeology and the Investigation of Early States,"Description:  Examines the development and structure of the earliest state-level societies in the ancient world. Archaeological approaches are used to analyze the major factors behind the processes of urbanization and state formation in Mesopotamia, Egypt, Central Asia, the Indus Valley, and Mesoamerica. The environmental background as well as the social, political, and economic characteristics of each civilization are compared to understand the varied forces that were involved in the transitions from village to urbanized life. Discussion sections utilize archaeological materials from the Peabody Museum and Semitic Museum collections to study the archaeological methods used in the class."
